Category,Name,Latitude,Longitude
Airport Terminal,Cargo Terminal,19.0954400,72.8660044
Airport Terminal,transline air cargo servics pvt ltd unit no 17,19.1063277,72.8631392
Railway Station,Dahisar,19.2493572,72.8596302
Railway Station,Santa Cruz,19.0815223,72.8417565
Railway Station,Khar Road,19.0682411,72.8400412
Railway Station,Kanjur Marg,19.1296868,72.9283701
Railway Station,Vidyavihar,19.0795422,72.8971169
Railway Station,Chembur,19.0612128,72.8975909
Railway Station,Bhakti Park,19.0289720,72.8775722
Railway Station,Wadala Depot,19.0388641,72.8739426
Railway Station,Mysore Colony,19.0277168,72.8914397
Railway Station,Mulund,19.1721762,72.9562383
Railway Station,King's Circle,19.0316822,72.8577375
Railway Station,Chembur,19.0626319,72.9011399
Railway Station,Mankhurd,19.0485178,72.9323356
Railway Station,Nahur,19.1543618,72.9464735
Railway Station,Bandra,19.0549792,72.8402203
Railway Station,Dadar,19.0177342,72.8437523
Railway Station,Dadar,19.0192269,72.8428479
Railway Station,Mahim Junction,19.0406634,72.8466038
Railway Station,Vile Parle,19.0999098,72.8440038
Railway Station,Bharat Petroleum,19.0352839,72.8955553
Railway Station,VNP & RC Marg Junction,19.0526419,72.8942789
Railway Station,Chuna Bhatti,19.0517703,72.8690974
Railway Station,Sion,19.0465213,72.8632834
Railway Station,Fertilizer Township,19.0438776,72.8934560
Railway Station,Govandi,19.0553688,72.9150702
Railway Station,Bhandup,19.1438684,72.9384327
Railway Station,Borivali,19.2290680,72.8573628
Railway Station,Kandivali,19.2041136,72.8517376
Railway Station,Malad,19.1867193,72.8485884
Railway Station,Goregaon,19.1648688,72.8495492
Railway Station,Prabhadevi,19.0074717,72.8358965
Railway Station,Parel,19.0094817,72.8376614
Railway Station,Tilak Nagar,19.0657855,72.8904702
Railway Station,Wadala Bridge,19.0174849,72.8593168
Railway Station,Acharya Atre Nagar,19.0238248,72.8638112
Railway Station,Ambedkar Nagar,19.0015921,72.8442272
Railway Station,Antop Hill,19.0302863,72.8669592
Railway Station,Dadar East,19.0162531,72.8522274
Railway Station,Guru Tegh Bahadur Nagar,19.0367125,72.8707852
Railway Station,Naigaon,19.0095393,72.8478709
Railway Station,Vikhroli,19.1114795,72.9280210
Railway Station,Matunga,19.0274356,72.8501467
Railway Station,Matunga Road,19.0278149,72.8466813
Railway Station,Ghatkopar,19.0856928,72.9083668
Railway Station,Guru Tegh Bahadur Nagar,19.0380048,72.8643455
Railway Station,Mira Road,19.2816975,72.8560676
Railway Station,Dahanukarwadi,19.2062315,72.8348068
Railway Station,Kandivali (West),19.2140036,72.8373054
